model,mean_predicted,observed_fraction
lightgbm_v2_raw,0.1033398925970839,0.010727056019070322
lightgbm_v2_raw,0.1991386557739289,0.025029797377830752
lightgbm_v2_raw,0.2630124744817037,0.03456495828367104
lightgbm_v2_raw,0.32480417885541496,0.06801909307875895
lightgbm_v2_raw,0.3855996633913543,0.08343265792610251
lightgbm_v2_raw,0.44762505906730615,0.07866507747318235
lightgbm_v2_raw,0.5260486474876387,0.13842482100238662
lightgbm_v2_raw,0.6245505272646861,0.2061978545887962
lightgbm_v2_raw,0.7222805698995708,0.3265792610250298
lightgbm_v2_raw,0.8110593678649954,0.5280095351609059
lightgbm_v2_isotonic,0.039979032715208,0.019171779141104295
lightgbm_v2_isotonic,0.1096166629728623,0.021148036253776436
lightgbm_v2_isotonic,0.13555481085605148,0.042789223454833596
lightgbm_v2_isotonic,0.1886158291806711,0.06407035175879397
lightgbm_v2_isotonic,0.266628736493561,0.07970342910101946
lightgbm_v2_isotonic,0.3205714605694515,0.08803986710963455
lightgbm_v2_isotonic,0.39029448608384526,0.14186851211072665
lightgbm_v2_isotonic,0.4674506754226739,0.2134969325153374
lightgbm_v2_isotonic,0.6454868848125708,0.35004476275738583
lightgbm_v2_isotonic,0.831433711876258,0.6097087378640776
logreg_balanced,0.033966564820793445,0.004767580452920143
logreg_balanced,0.10588573818679205,0.010727056019070322
logreg_balanced,0.19461964777895094,0.023837902264600714
logreg_balanced,0.2995468584002353,0.04295942720763723
logreg_balanced,0.42358595361511425,0.05959475566150179
logreg_balanced,0.5462117565782791,0.09535160905840286
logreg_balanced,0.6651445610067511,0.13484486873508353
logreg_balanced,0.7640800493408493,0.22526817640047675
logreg_balanced,0.8420911548425639,0.33373063170441003
logreg_balanced,0.9126952680140191,0.5685339690107271
