feature,importance
num__tenure_days,0.12336808560674614
num__total_units,0.07014999699716788
num__total_orders,0.06104750213669389
num__total_discount_amount,0.0607634331406031
num__total_net_revenue,0.05983541977480055
num__spend_rank_in_region,0.041326365737456315
num__avg_item_discount_pct,0.035442514825729965
num__revenue_per_order,0.029104039350174138
num__total_returns,0.02902843189220969
num__avg_item_margin,0.028780961610588005
num__avg_order_value,0.028607602942345448
num__avg_basket_size,0.028332802724645514
num__avg_session_minutes,0.028307179620100008
num__total_refund_amount,0.027116552070707924
num__avg_pages_viewed,0.026685943579484797
num__return_rate_per_unit,0.022350682551934523
num__avg_days_to_return,0.021951685587914837
num__sessions_with_purchase,0.021359768971669597
cat__customer_value_band_low_value,0.020811885186505532
num__total_sessions,0.019808685702744997
num__sessions_add_to_cart,0.01902338874860342
cat__customer_segment_seed_at_risk,0.017779712400959376
num__store_order_share,0.015918558775738226
num__online_order_share,0.015162593051060104
cat__customer_value_band_no_purchase,0.01258845354654387
num__campaign_revenue_30d,0.011854136428700028
cat__customer_segment_seed_loyal,0.011353976580804708
num__campaigns_targeted,0.01000651900352884
num__campaigns_treatment,0.009921474437660952
cat__customer_segment_seed_discount_sensitive,0.0077322221003410544
