feature,action,reason
avg_discount_pct,keep,approved
avg_ending_inventory,keep,approved
avg_item_discount_pct,keep,approved
avg_listed_price,keep,approved
avg_starting_inventory,keep,approved
backorder_days,keep,approved
category,keep,approved
lag_1w_units_sold,keep,approved
lag_4w_units_sold,keep,approved
markdown_days,keep,approved
month,keep,approved
premium_flag,keep,approved
price_tier,keep,approved
product_id,keep,approved
promo_days,keep,approved
quarter,keep,approved
seasonal_flag,keep,approved
stock_received_units,keep,approved
stockout_days,keep,approved
store_id_or_online,keep,approved
subcategory,keep,approved
week_of_year,keep,approved
week_start_date,keep,approved
