pc,explained_variance_ratio,cumulative_explained_variance
PC1,0.46082291775822215,0.46082291775822215
PC2,0.12776867081849677,0.5885915885767189
PC3,0.0833876341133395,0.6719792226900584
PC4,0.06513158214969088,0.7371108048397492
PC5,0.05980387100704096,0.7969146758467902
PC6,0.05441799798423005,0.8513326738310203
PC7,0.043087866733374454,0.8944205405643948
PC8,0.03611187382640543,0.9305324143908003
PC9,0.029810118556625385,0.9603425329474257
PC10,0.019058052409810525,0.9794005853572362
PC11,0.009432166213846606,0.9888327515710827
PC12,0.005707816752510836,0.9945405683235936
PC13,0.0032600724478887696,0.9978006407714823
PC14,0.0021993592285176854,1.0
