feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
total_orders,0.36760980787462766,-0.15149163117408707,0.04636153624782344,0.01208079561912225,0.0688121788682231,-0.11007503352958285,-0.0915322602501379,0.10316726090448727,-0.2507348952002422,-0.04694866635688977,-0.13460516259845343,-0.05936854913445928,0.7896161721097421,-0.30583602010045224
total_net_revenue,0.34303095606487943,-0.16008633350066587,-0.07035376536365777,0.34959685555288406,0.0439218927482174,0.12326443202728236,-0.022984281463396285,0.05657453550567511,-0.0629880735854564,-0.08045021198401521,-0.3132689557221451,0.7432474205895947,-0.21762916330330495,-0.018054184884615812
avg_order_value,0.2190874141220176,0.21372181134989157,-0.21132774562733161,0.5560665561657465,-0.05480803142203755,0.49754896714277996,0.21002586704782067,0.155804816522408,0.24167754426355334,-0.12526480603468748,0.2714564230080088,-0.261776717679876,0.12798021380785718,0.02855659301602291
recency_days,-0.0725043640500922,0.3296578511517569,0.5656792464441018,0.3596526917823809,-0.3999532277887065,0.03385454975769482,-0.3678058856925401,-0.25400665977383735,-0.272288535509899,-0.0020455850567733394,0.03858207627620565,0.009444571208339567,0.006259485070591505,-0.007368406177059491
tenure_days,0.15389351883471236,-0.13475157367373058,0.6681686638955794,0.09363181215053804,0.028027378955690248,-0.2642257346855167,0.5131106326395553,0.18324741352821416,0.36486529354029357,0.028282869855783117,-0.021160312457120176,-0.018802267228823038,-0.025168363697184868,0.010875481405816123
total_units,0.3580558940479298,-0.1849088083703166,-0.0016313565467810502,0.11037490413253911,0.019149135822653228,0.003104815991655247,-0.08737073077509816,0.06380338055620481,-0.24769869854334572,0.08177960538010147,-0.48541620538452696,-0.5927687986713881,-0.3833871367617611,0.10633248049245635
return_rate_per_unit,0.07689947175708914,0.4194157678180322,0.017059090249030615,0.22274235371524614,0.7677990387898862,-0.26527883516042505,-0.09652569614336245,-0.30401828140023157,0.06552005160049977,0.021254118685646438,-0.01947294698309775,-0.03466984225107942,-0.01680286418082586,0.005569727521751461
avg_item_discount_pct,0.11048538626168825,0.5711859091005538,0.050731994917720354,-0.23575229815801152,0.046125857586415686,-0.012800706756580888,0.10819360387679088,0.6554614673358952,-0.36602489145545775,0.035514641354250406,0.03747982111353005,0.10155711084298734,-0.09895349214111623,0.0548982976333662
total_sessions,0.3470675159543982,-0.12422834094885994,0.007136895857397681,-0.047461408143483395,-0.012931896873267346,-0.1883684823295441,-0.39735396993664074,0.1583896765200706,0.1693119657958728,0.0023142801839454315,0.5011416657682681,-0.040498911267876074,-0.33434577098940305,-0.49993842497718455
avg_session_minutes,0.30199946799237853,0.145623513186969,-0.05762553570156354,-0.2357186399617184,-0.15210973899009095,-0.09272488413881075,0.35081823476563523,-0.4018158154050142,-0.20547050132588895,-0.6638075508076212,0.09809509391028615,-0.022923367966592587,-0.12544370426744697,-0.060816374015433945
avg_pages_viewed,0.31621182730828795,0.1048201242157865,-0.11024292236484244,-0.08389051337044028,-0.14855537923715642,0.036580351350713025,0.34236935763597887,-0.365612947791327,-0.17235947760904646,0.7239156755152834,0.17397810578665782,0.0767604851256021,-0.018249190997454784,-0.0726635610080177
sessions_with_purchase,0.3678890879685439,-0.11133519777842281,-0.003334068996625827,-0.07482280773287346,-0.04157231099218695,-0.18139077051902158,-0.2534149350376845,0.011105802603645158,0.0588868948882728,-0.00983482073004377,0.30474682272469694,0.056937097096945465,0.1377523029883456,0.7931119979172387
online_order_share,0.2258765571133315,0.4232488452086902,-0.11555755078171337,-0.23986447261325786,-0.3084563426158202,-0.055557495484728436,-0.19427456546684732,-0.05767586789502829,0.6002199372978508,0.03924599181569016,-0.43209063576860296,0.012750430781305555,0.0902505215320098,-0.05325740735273445
campaigns_converted_30d,0.1609868554855521,-0.05829150027816175,0.3873524931946369,-0.43005381400141013,0.3087510078969669,0.7086739066761761,-0.1400720439490245,-0.1182711558520314,0.059522342096470976,-0.009517402153699225,0.009965945079114375,0.027128535894905922,-0.00744006851714004,0.004340444466900443
