rank,feature,gain,split
1,product_mean_demand,203693.30358338356,2281
2,store_mean_demand,127572.95970880985,1019
3,category,50334.360921144485,161
4,roll_13w_avg,36917.05212545395,1843
5,sin_woy,32902.33307278156,2226
6,avg_starting_inventory,26598.567586898804,2740
7,lag_13w,26394.119697213173,941
8,cos_woy,22742.06151497364,1600
9,subcategory,12911.46444272995,1327
10,roll_8w_avg,12544.973086595535,1322
11,avg_listed_price,11869.152255296707,2138
12,lag_8w,7428.945597171783,856
13,lag_52w,3691.476575613022,266
14,lag_3w,3550.908140182495,736
15,roll_2w_avg,3260.14954328537,679
16,lag_4w_units_sold,3169.616672515869,651
17,lag_2w,3082.8506319522858,650
18,lag_1w_units_sold,2744.9493812322617,564
19,markdown_days,2632.7538981437683,202
20,promo_days,1543.939426779747,329
21,price_tier,1209.5511102676392,249
22,has_yoy_lag,584.1363337039948,27
23,seasonal_flag,309.00926995277405,65
24,premium_flag,279.3196818828583,60
25,has_inventory,0.0,0
