,PC1,PC2,PC3,PC4,PC5,PC6
log_total_orders,0.4041,0.0902,0.0588,0.1402,-0.2512,-0.1331
log_total_net_revenue,0.3981,0.0231,0.2673,0.1668,-0.0235,0.1182
avg_order_value,0.1679,-0.1207,0.5416,0.0881,0.4629,0.5223
log_recency_days,-0.1779,0.374,0.013,-0.2385,0.3999,-0.0611
log_tenure_days,0.1835,0.6407,0.0236,0.0826,-0.114,-0.0209
avg_item_discount_pct,-0.1206,-0.0219,-0.5277,0.3961,-0.1738,0.6279
return_rate_per_unit,-0.0159,0.0,-0.1403,0.7525,0.4945,-0.3893
log_total_sessions,0.3539,0.0215,-0.031,0.0167,-0.076,-0.2622
avg_session_minutes,0.3409,0.0246,-0.2539,-0.0895,0.0441,0.0595
avg_pages_viewed,0.3625,-0.0148,-0.0961,-0.0649,0.1238,0.1803
purchase_rate,0.3948,0.0249,-0.2235,-0.0722,0.0312,0.0441
online_order_share,0.1631,-0.1389,-0.4539,-0.3742,0.4887,-0.0323
order_rate_per_month,0.1208,-0.6362,0.0466,0.016,-0.1072,-0.1943
