model,decile,n_treatment,n_control,response_rate_treatment,response_rate_control,observed_uplift,mean_ite_score,cumulative_observed_uplift
xlearner_v2,1,1673,379,0.22056186491332935,0.14511873350923482,0.07544313140409453,0.06222086399793625,0.07544313140409453
xlearner_v2,2,1725,327,0.21043478260869566,0.14678899082568808,0.06364579178300758,0.05268723890185356,0.06954446159355106
xlearner_v2,3,1706,346,0.19284876905041032,0.14450867052023122,0.04834009853017909,0.048520248383283615,0.06247634057242707
xlearner_v2,4,1729,323,0.20358588779641412,0.18885448916408668,0.014731398632327447,0.04544861987233162,0.050540105087402164
xlearner_v2,5,1736,316,0.19700460829493088,0.17405063291139242,0.022953975383538466,0.042835429310798645,0.045022879146629426
xlearner_v2,6,1724,327,0.21867749419953597,0.1620795107033639,0.056597983496172066,0.04049423709511757,0.046952063204886534
xlearner_v2,7,1736,316,0.21140552995391704,0.15822784810126583,0.053177681852651204,0.03824422135949135,0.04784143729742434
xlearner_v2,8,1728,324,0.20833333333333334,0.15432098765432098,0.054012345679012363,0.035851847380399704,0.048612800845122844
xlearner_v2,9,1660,392,0.21144578313253012,0.18112244897959184,0.03032333415293828,0.03273988515138626,0.046580637879324566
xlearner_v2,10,1614,438,0.1976456009913259,0.17123287671232876,0.02641272427899713,0.025792574509978294,0.044563846519291815
