decile,marginal_uplift,marginal_above_ate,cum_treated,cum_incremental_conversions,cum_incremental_rate,cum_incr_per_1000_treated
1,0.0754,True,1673,126.2,0.0754,75.4
2,0.0636,True,3398,236.0,0.0695,69.5
3,0.0483,True,5104,318.5,0.0624,62.4
4,0.0147,False,6833,343.9,0.0503,50.3
5,0.023,False,8569,383.8,0.0448,44.8
6,0.0566,True,10293,481.4,0.0468,46.8
7,0.0532,True,12029,573.7,0.0477,47.7
8,0.054,True,13757,667.0,0.0485,48.5
9,0.0303,False,15417,717.4,0.0465,46.5
10,0.0264,False,17031,760.0,0.0446,44.6
